MultiMax v1.0,,,
12/10/2012 11:49,,,
,,,
,,,
[DataSet27],,,
,,,
HomePosition,-1.3,in,
PurgePosition,-0.1,in,
StartPosition,0,in,
MaxHeight,0.2,in,
Target,500,psi,
Rate,10,psi / s,
Transition,80,%,
HoldingLoad,7,Ton,
,,,
Time,Height[in],Pressure[psi],Notes
5729,-0.359,74,
5739,-0.359,75,
5749,-0.359,73,
5759,-0.359,72,
5769,-0.359,78,
5779,-0.359,72,
5789,-0.359,73,
5799,-0.359,73,
5809,-0.359,76,
5819,-0.359,77,
5829,-0.359,73,
5839,-0.359,76,
5849,-0.359,70,
5859,-0.358,76,
5869,-0.359,77,
5879,-0.359,76,
5889,-0.359,72,
5899,-0.359,71,
5909,-0.359,80,
5919,-0.359,72,
5929,-0.359,78,
5939,-0.359,78,
5949,-0.359,75,
5959,-0.359,73,
5969,-0.359,76,
5979,-0.359,80,
5989,-0.359,75,
5999,-0.359,80,
6009,-0.359,76,
6019,-0.359,78,
6029,-0.358,79,
6039,-0.359,80,
6049,-0.359,77,
6059,-0.358,82,
6069,-0.358,78,
6079,-0.359,77,
6089,-0.358,77,
6099,-0.359,80,
6109,-0.359,81,
6119,-0.359,81,
6129,-0.359,75,
6139,-0.359,77,
6149,-0.358,77,
6159,-0.359,78,
6169,-0.359,76,
6179,-0.358,84,
6189,-0.359,79,
6199,-0.359,72,
6209,-0.358,77,
6219,-0.359,81,
6229,-0.359,79,
6239,-0.358,79,
6249,-0.358,83,
6259,-0.359,81,
6269,-0.359,80,
6279,-0.358,80,
6289,-0.358,79,
6299,-0.359,82,
6309,-0.359,80,
6319,-0.359,84,
6329,-0.359,80,
6339,-0.359,82,
6349,-0.359,79,
6359,-0.359,82,
6369,-0.359,80,
6379,-0.359,78,
6389,-0.359,78,
6399,-0.359,79,
6409,-0.36,83,
6419,-0.359,79,
6429,-0.359,86,
6439,-0.359,81,
6449,-0.359,80,
6459,-0.359,85,
6469,-0.359,85,
6479,-0.359,80,
6489,-0.359,84,
6499,-0.359,82,
6509,-0.359,82,
6519,-0.359,85,
6529,-0.359,83,
6539,-0.359,83,
6549,-0.359,80,
6559,-0.359,80,
6569,-0.359,83,
6579,-0.359,79,
6589,-0.359,85,
6599,-0.359,83,
6609,-0.359,84,
6619,-0.359,89,
6629,-0.359,83,
6639,-0.359,86,
6649,-0.358,83,
6659,-0.359,82,
6669,-0.359,85,
6679,-0.359,80,
6689,-0.359,82,
6699,-0.359,87,
6709,-0.359,87,
6719,-0.358,85,
6729,-0.359,84,
6739,-0.359,84,
6749,-0.359,83,
6759,-0.359,82,
6769,-0.359,87,
6779,-0.359,85,
6789,-0.359,83,
6799,-0.359,83,
6809,-0.359,81,
6819,-0.359,86,
6829,-0.359,87,
6839,-0.359,87,
6849,-0.36,86,
6859,-0.359,86,
6869,-0.359,88,
6879,-0.359,84,
6889,-0.359,86,
6899,-0.359,86,
6909,-0.358,83,
6919,-0.358,85,
6929,-0.358,81,
6939,-0.358,83,
6949,-0.358,88,
6959,-0.358,89,
6969,-0.358,91,
6979,-0.358,87,
6989,-0.359,87,
6999,-0.359,90,
7009,-0.359,88,
7019,-0.359,88,
7029,-0.359,88,
7039,-0.359,90,
7049,-0.36,87,
7059,-0.359,84,
7069,-0.359,90,
7079,-0.359,87,
7089,-0.359,84,
7099,-0.359,88,
7109,-0.359,87,
7119,-0.359,95,
7129,-0.359,85,
7139,-0.359,89,
7149,-0.359,88,
7159,-0.359,90,
7169,-0.359,92,
7179,-0.359,88,
7189,-0.359,88,
7199,-0.359,90,
7209,-0.359,88,
7219,-0.359,93,
7229,-0.359,86,
7239,-0.359,91,
7249,-0.359,93,
7259,-0.359,92,
7269,-0.359,92,
7279,-0.359,89,
7289,-0.359,94,
7299,-0.359,93,
7309,-0.359,88,
7319,-0.359,91,
7329,-0.359,86,
7339,-0.359,91,
7349,-0.359,95,
7359,-0.358,90,
7369,-0.359,86,
7379,-0.359,90,
7389,-0.359,91,
7399,-0.359,93,
7409,-0.359,90,
7419,-0.359,95,
7429,-0.359,88,
7439,-0.359,92,
7449,-0.359,93,
7459,-0.359,90,
7469,-0.359,93,
7479,-0.359,87,
7489,-0.359,89,
7499,-0.359,90,
7509,-0.359,92,
7519,-0.359,91,
7529,-0.359,92,
7539,-0.359,96,
7549,-0.359,90,
7559,-0.359,96,
7569,-0.359,92,
7579,-0.359,93,
7589,-0.359,95,
7599,-0.359,93,
7609,-0.359,91,
7619,-0.359,94,
7629,-0.359,97,
7639,-0.359,90,
7649,-0.359,93,
7659,-0.359,96,
7669,-0.359,94,
7679,-0.359,94,
7689,-0.359,96,
7699,-0.359,94,
7709,-0.359,95,
7719,-0.359,97,
7729,-0.359,93,
7739,-0.359,96,
7749,-0.359,102,
7759,-0.359,92,
7769,-0.359,99,
7779,-0.359,94,
7789,-0.359,91,
7799,-0.359,100,
7809,-0.359,94,
7819,-0.359,96,
7829,-0.359,99,
7839,-0.359,95,
7849,-0.359,103,
7859,-0.359,94,
7869,-0.359,96,
7879,-0.359,94,
7889,-0.359,97,
7899,-0.359,99,
7909,-0.359,98,
7919,-0.359,97,
7929,-0.359,98,
7939,-0.36,92,
7949,-0.359,94,
7959,-0.36,96,
7969,-0.36,98,
7979,-0.359,100,
7989,-0.359,96,
7999,-0.359,100,
8009,-0.359,94,
8019,-0.359,96,
8029,-0.359,101,
8039,-0.359,96,
8049,-0.359,95,
8059,-0.359,97,
8069,-0.359,97,
8079,-0.359,99,
8089,-0.359,94,
8099,-0.359,100,
8109,-0.359,99,
8119,-0.359,99,
8129,-0.359,104,
8139,-0.359,100,
8149,-0.359,99,
8159,-0.359,97,
8169,-0.359,95,
8179,-0.359,103,
8189,-0.36,101,
8199,-0.359,98,
8209,-0.359,102,
8219,-0.359,97,
8229,-0.359,100,
8239,-0.359,97,
8249,-0.359,99,
8259,-0.359,99,
8269,-0.359,98,
8279,-0.359,101,
8289,-0.359,102,
8299,-0.359,99,
8309,-0.359,104,
8319,-0.359,97,
8329,-0.359,102,
8339,-0.359,100,
8349,-0.359,102,
8359,-0.36,100,
8369,-0.359,95,
8379,-0.36,98,
8389,-0.359,98,
8399,-0.36,102,
8409,-0.359,101,
8419,-0.359,95,
8429,-0.36,102,
8439,-0.359,104,
8449,-0.359,100,
8459,-0.359,96,
8469,-0.359,102,
8479,-0.359,106,
8489,-0.359,100,
8499,-0.359,103,
8509,-0.359,99,
8519,-0.359,99,
8529,-0.359,101,
8539,-0.359,103,
8549,-0.359,106,
8559,-0.359,103,
8569,-0.359,99,
8579,-0.359,108,
8589,-0.359,100,
8599,-0.36,103,
8609,-0.359,103,
8619,-0.359,102,
8629,-0.359,105,
8639,-0.359,100,
8649,-0.359,101,
8659,-0.359,104,
8669,-0.359,98,
8679,-0.359,105,
8689,-0.359,104,
8699,-0.359,101,
8709,-0.359,105,
8719,-0.359,101,
8729,-0.359,102,
8739,-0.358,108,
8749,-0.359,110,
8759,-0.359,100,
8769,-0.359,100,
8779,-0.358,103,
8789,-0.358,99,
8799,-0.359,102,
8809,-0.358,107,
8819,-0.358,101,
8829,-0.358,104,
8839,-0.358,104,
8849,-0.358,105,
8859,-0.358,105,
8869,-0.358,104,
8879,-0.358,109,
8889,-0.358,103,
8899,-0.358,103,
8909,-0.358,106,
8919,-0.358,107,
8929,-0.359,110,
8939,-0.358,104,
8949,-0.358,103,
8959,-0.358,109,
8969,-0.358,106,
8979,-0.359,106,
8989,-0.358,106,
8999,-0.359,105,
9009,-0.358,109,
9019,-0.359,102,
9029,-0.359,101,
9039,-0.358,111,
9049,-0.359,107,
9059,-0.358,115,
9069,-0.358,104,
9079,-0.359,107,
9089,-0.359,105,
9099,-0.358,103,
9109,-0.358,114,
9119,-0.359,106,
9129,-0.358,111,
9139,-0.358,109,
9149,-0.358,112,
9159,-0.359,111,
9169,-0.359,107,
9179,-0.358,108,
9189,-0.359,107,
9199,-0.359,104,
9209,-0.359,106,
9219,-0.359,110,
9229,-0.359,103,
9239,-0.359,109,
9249,-0.359,104,
9259,-0.359,106,
9269,-0.359,107,
9279,-0.359,112,
9289,-0.359,110,
9299,-0.359,111,
9309,-0.359,107,
9319,-0.359,113,
9329,-0.359,107,
9339,-0.359,110,
9349,-0.359,109,
9359,-0.359,110,
9369,-0.358,105,
9379,-0.359,106,
9389,-0.359,113,
9399,-0.359,109,
9409,-0.359,110,
9419,-0.359,111,
9429,-0.359,109,
9439,-0.359,112,
9449,-0.359,105,
9459,-0.359,113,
9469,-0.359,112,
9479,-0.359,111,
9489,-0.359,114,
9499,-0.359,111,
9509,-0.359,109,
9519,-0.359,115,
9529,-0.359,108,
9539,-0.359,113,
9549,-0.359,108,
9559,-0.359,113,
9569,-0.359,114,
9579,-0.359,112,
9589,-0.359,111,
9599,-0.359,109,
9609,-0.359,109,
9619,-0.359,114,
9629,-0.359,113,
9639,-0.36,110,
9649,-0.359,109,
9659,-0.359,117,
9669,-0.359,115,
9679,-0.359,113,
9689,-0.359,114,
9699,-0.359,112,
9709,-0.359,119,
9719,-0.359,110,
9729,-0.359,113,
9739,-0.358,111,
9749,-0.359,111,
9759,-0.359,119,
9769,-0.359,108,
9779,-0.359,106,
9789,-0.359,115,
9799,-0.359,113,
9809,-0.359,111,
9819,-0.359,114,
9829,-0.359,114,
9839,-0.359,119,
9849,-0.359,113,
9859,-0.359,117,
9869,-0.359,113,
9879,-0.359,115,
9889,-0.359,116,
9899,-0.359,106,
9909,-0.36,118,
9919,-0.359,117,
9929,-0.36,117,
9939,-0.359,115,
9949,-0.359,116,
9959,-0.359,116,
9969,-0.359,113,
9979,-0.359,119,
9989,-0.359,120,
9999,-0.359,114,
10009,-0.36,116,
10019,-0.359,118,
10029,-0.359,117,
10039,-0.359,115,
10049,-0.359,117,
10059,-0.359,115,
10069,-0.359,120,
10079,-0.359,115,
10089,-0.359,117,
10099,-0.359,118,
10109,-0.359,116,
10119,-0.359,118,
10129,-0.359,113,
10139,-0.359,117,
10149,-0.359,117,
10159,-0.359,117,
10169,-0.359,118,
10179,-0.359,120,
10189,-0.359,120,
10199,-0.359,113,
10209,-0.359,118,
10219,-0.359,121,
10229,-0.359,119,
10239,-0.359,123,
10249,-0.36,118,
10259,-0.359,116,
10269,-0.359,118,
10279,-0.359,118,
10289,-0.359,123,
10299,-0.359,118,
10309,-0.359,120,
10319,-0.36,119,
10329,-0.359,117,
10339,-0.359,119,
10349,-0.359,119,
10359,-0.359,125,
10369,-0.359,122,
10379,-0.359,116,
10389,-0.359,118,
10399,-0.359,118,
10409,-0.359,117,
10419,-0.359,122,
10429,-0.359,122,
10439,-0.359,118,
10449,-0.36,119,
10459,-0.359,119,
10469,-0.359,126,
10479,-0.36,119,
10489,-0.359,119,
10499,-0.359,119,
10509,-0.359,119,
10519,-0.359,122,
10529,-0.359,119,
10539,-0.359,122,
10549,-0.359,120,
10559,-0.359,121,
10569,-0.36,122,
10579,-0.359,124,
10589,-0.359,122,
10599,-0.359,124,
10609,-0.359,119,
10619,-0.359,124,
10629,-0.359,125,
10639,-0.36,122,
10649,-0.359,119,
10659,-0.36,126,
10669,-0.359,124,
10679,-0.359,127,
10689,-0.359,124,
10699,-0.359,120,
10709,-0.359,120,
10719,-0.359,125,
10729,-0.359,123,
10739,-0.359,118,
10749,-0.359,123,
10759,-0.359,122,
10769,-0.359,125,
10779,-0.359,126,
10789,-0.359,125,
10799,-0.359,125,
10809,-0.359,126,
10819,-0.359,125,
10829,-0.359,120,
10839,-0.359,127,
10849,-0.359,124,
10859,-0.359,123,
10869,-0.359,128,
10879,-0.359,123,
10889,-0.359,126,
10899,-0.359,125,
10909,-0.359,123,
10919,-0.359,124,
10929,-0.359,126,
10939,-0.359,128,
10949,-0.359,126,
10959,-0.359,128,
10969,-0.359,125,
10979,-0.359,125,
10989,-0.359,125,
10999,-0.359,131,
11009,-0.359,123,
11019,-0.359,127,
11029,-0.359,128,
11039,-0.359,126,
11049,-0.359,128,
11059,-0.359,126,
11069,-0.359,126,
11079,-0.359,126,
11089,-0.359,124,
11099,-0.359,128,
11109,-0.359,124,
11119,-0.359,128,
11129,-0.359,131,
11139,-0.36,126,
11149,-0.359,132,
11159,-0.359,128,
11169,-0.359,129,
11179,-0.359,126,
11189,-0.359,128,
11199,-0.36,129,
11209,-0.36,130,
11219,-0.359,130,
11229,-0.359,128,
11239,-0.359,129,
11249,-0.359,136,
11259,-0.359,127,
11269,-0.359,128,
11279,-0.359,130,
11289,-0.359,132,
11299,-0.359,134,
11309,-0.359,126,
11319,-0.359,129,
11329,-0.359,133,
11339,-0.359,131,
11349,-0.359,134,
11359,-0.359,130,
11369,-0.359,132,
11379,-0.359,134,
11389,-0.36,129,
11399,-0.359,134,
11409,-0.359,129,
11419,-0.359,132,
11429,-0.359,128,
11439,-0.359,130,
11449,-0.359,136,
11459,-0.359,133,
11469,-0.359,133,
11479,-0.359,133,
11489,-0.359,128,
11499,-0.359,133,
11509,-0.359,131,
11519,-0.359,134,
11529,-0.359,130,
11539,-0.359,127,
11549,-0.359,133,
11559,-0.36,132,
11569,-0.359,136,
11579,-0.359,130,
11589,-0.36,135,
11599,-0.36,137,
11609,-0.359,134,
11619,-0.359,133,
11629,-0.359,137,
11639,-0.36,137,
11649,-0.36,137,
11659,-0.36,137,
11669,-0.359,134,
11679,-0.36,133,
11689,-0.359,133,
11699,-0.359,133,
11709,-0.359,130,
11719,-0.36,136,
11729,-0.36,133,
11739,-0.36,137,
11749,-0.359,137,
11759,-0.359,131,
11769,-0.36,133,
11779,-0.36,138,
11789,-0.359,134,
11799,-0.36,133,
11809,-0.36,138,
11819,-0.359,137,
11829,-0.359,133,
11839,-0.359,137,
11849,-0.359,136,
11859,-0.359,134,
11869,-0.359,133,
11879,-0.359,142,
